Date,Price
12/24/2010,"1,773.00"
12/23/2010,"1,795.00"
12/22/2010,"1,830.00"
12/21/2010,"1,886.00"
12/20/2010,"1,955.00"
12/17/2010,"1,999.00"
12/16/2010,"2,028.00"
12/15/2010,"2,047.00"
12/14/2010,"2,069.00"
12/13/2010,"2,076.00"
12/10/2010,"2,095.00"
12/09/2010,"2,111.00"
12/08/2010,"2,144.00"
12/07/2010,"2,173.00"
12/06/2010,"2,179.00"
12/03/2010,"2,168.00"
12/02/2010,"2,133.00"
12/01/2010,"2,096.00"
11/30/2010,"2,099.00"
11/29/2010,"2,145.00"
11/26/2010,"2,170.00"
11/25/2010,"2,200.00"
11/24/2010,"2,213.00"
11/23/2010,"2,199.00"
11/22/2010,"2,179.00"
11/19/2010,"2,155.00"
11/18/2010,"2,164.00"
11/17/2010,"2,188.00"
11/16/2010,"2,219.00"
11/15/2010,"2,261.00"
11/12/2010,"2,313.00"
11/11/2010,"2,366.00"
11/10/2010,"2,454.00"
11/09/2010,"2,467.00"
11/08/2010,"2,482.00"
11/05/2010,"2,495.00"
11/04/2010,"2,510.00"
11/03/2010,"2,542.00"
11/02/2010,"2,600.00"
11/01/2010,"2,648.00"
10/29/2010,"2,678.00"
10/28/2010,"2,707.00"
10/27/2010,"2,784.00"
10/26/2010,"2,778.00"
10/25/2010,"2,748.00"
10/22/2010,"2,727.00"
10/21/2010,"2,720.00"
10/20/2010,"2,729.00"
10/19/2010,"2,744.00"
10/18/2010,"2,756.00"
10/15/2010,"2,762.00"
10/14/2010,"2,769.00"
10/13/2010,"2,748.00"
10/12/2010,"2,719.00"
10/11/2010,"2,695.00"
10/08/2010,"2,696.00"
10/07/2010,"2,662.00"
10/06/2010,"2,639.00"
10/05/2010,"2,569.00"
10/04/2010,"2,478.00"
10/01/2010,"2,452.00"
09/30/2010,"2,446.00"
09/29/2010,"2,468.00"
09/28/2010,"2,504.00"
09/27/2010,"2,451.00"
09/24/2010,"2,444.00"
09/23/2010,"2,461.00"
09/22/2010,"2,486.00"
09/21/2010,"2,562.00"
09/20/2010,"2,628.00"
09/17/2010,"2,676.00"
09/16/2010,"2,737.00"
09/15/2010,"2,840.00"
09/14/2010,"2,940.00"
09/13/2010,"2,976.00"
09/10/2010,"2,995.00"
09/09/2010,"2,988.00"
09/08/2010,"2,975.00"
09/07/2010,"2,918.00"
09/06/2010,"2,881.00"
09/03/2010,"2,876.00"
09/02/2010,"2,835.00"
09/01/2010,"2,741.00"
08/31/2010,"2,713.00"
08/27/2010,"2,712.00"
08/26/2010,"2,703.00"
08/25/2010,"2,773.00"
08/24/2010,"2,861.00"
08/23/2010,"2,841.00"
08/20/2010,"2,756.00"
08/19/2010,"2,644.00"
08/18/2010,"2,558.00"
08/17/2010,"2,515.00"
08/16/2010,"2,488.00"
08/13/2010,"2,468.00"
08/12/2010,"2,437.00"
08/11/2010,"2,378.00"
08/10/2010,"2,212.00"
08/09/2010,"2,114.00"
08/06/2010,"2,030.00"
08/05/2010,"1,978.00"
08/04/2010,"1,957.00"
08/03/2010,"1,964.00"
08/02/2010,"1,977.00"
07/30/2010,"1,967.00"
07/29/2010,"1,942.00"
07/28/2010,"1,901.00"
07/27/2010,"1,869.00"
07/26/2010,"1,841.00"
07/23/2010,"1,826.00"
07/22/2010,"1,801.00"
07/21/2010,"1,781.00"
07/20/2010,"1,761.00"
07/19/2010,"1,732.00"
07/16/2010,"1,720.00"
07/15/2010,"1,700.00"
07/14/2010,"1,709.00"
07/13/2010,"1,790.00"
07/12/2010,"1,840.00"
07/09/2010,"1,902.00"
07/08/2010,"1,940.00"
07/07/2010,"2,018.00"
07/06/2010,"2,127.00"
07/05/2010,"2,216.00"
07/02/2010,"2,280.00"
07/01/2010,"2,351.00"
06/30/2010,"2,406.00"
06/29/2010,"2,447.00"
06/28/2010,"2,482.00"
06/25/2010,"2,501.00"
06/24/2010,"2,502.00"
06/23/2010,"2,515.00"
06/22/2010,"2,547.00"
06/21/2010,"2,601.00"
06/18/2010,"2,694.00"
06/17/2010,"2,784.00"
06/16/2010,"2,893.00"
06/15/2010,"3,020.00"
06/14/2010,"3,115.00"
06/11/2010,"3,288.00"
